name,address,city,lat,lng,place_id,rating,class,type
Pike/Pine,,,47.61459624,-122.3210117,Pike/Pine,,urban_village,
Pioneer Square,,,47.60065827,-122.3324547,Pioneer-Square,,urban_village,
Rainier Beach,,,47.52619063,-122.2703821,Rainier-Beach,,urban_village,
Ravenna,,,47.66520562,-122.3038576,Ravenna,,urban_village,
Roosevelt,,,47.67705298,-122.3140814,Roosevelt,,urban_village,
South Lake Union,,,47.61880896,-122.3379719,South-Lake-Union,,urban_village,
South Park,,,47.52498328,-122.3203209,South-Park,,urban_village,
University Campus,,,47.65444945,-122.3095013,University-Campus,,urban_village,
University District Northwest,,,47.66148179,-122.3154694,University-District-Northwest,,urban_village,
Upper Queen Anne,,,47.63125611,-122.358828,Upper-Queen-Anne,,urban_village,
Uptown,,,47.62371752,-122.3565409,Uptown,,urban_village,
Wallingford,,,47.66116735,-122.3394145,Wallingford,,urban_village,
West Seattle Junction,,,47.5611362,-122.3824611,West-Seattle-Junction,,urban_village,
Westwood-Highland Park,,,47.52341843,-122.3629641,Westwood-Highland-Park,,urban_village,
Alki Beach Park,,,47.579763,-122.409572,Alki-Beach-Park,,destination_park,
Discovery Park,,,47.65814,-122.406333,Discovery-Park,,destination_park,
Golden Gardens Park,,,47.691806,-122.403889,Golden-Gardens-Park,,destination_park,
Madison Park,,,47.635897,-122.276901,Madison-Park,,destination_park,
Gasworks Park,,,47.64657,-122.335308,Gasworks-Park,,destination_park,
Seward Park,,,47.550034,-122.257778,Seward-Park,,destination_park,
Lincoln Park,,,47.530419,-122.393117,Lincoln-Park,,destination_park,
Volunteer Park,,,47.631061,-122.315451,Volunteer-Park,,destination_park,
Lake Union Park,,,47.6262,-122.337323,Lake-Union-Park,,destination_park,
Jefferson Park,,,47.568994,-122.308655,Jefferson-Park,,destination_park,
Magnusan Park,,,47.680326,-122.253198,Magnusan-Park,,destination_park,
Cal Anderson Park,,,47.61732,-122.31957,Cal-Anderson-Park,,destination_park,
Greenlake Park,,,47.68025,-122.328499,Greenlake-Park,,destination_park,
Olympic Sculpture Park,,,47.616675,-122.355396,Olympic-Sculpture-Park,,destination_park,
Madrona Park,,,47.610256,-122.283617,Madrona-Park,,destination_park,
Kubota Garden,,,47.513127,-122.266398,Kubota-Garden,,destination_park,
Carkeek Park,,,47.711609,-122.372217,Carkeek-Park,,destination_park,
Myrtle Edwards Park,,,47.619871,-122.361605,Myrtle-Edwards-Park,,destination_park,
Seattle Central College,,,47.616587,-122.321611,Seattle-Central-College,,citywide,College
North Seattle College,,,47.699252,-122.33352,North-Seattle-College,,citywide,College
South Seattle College,,,47.54841,-122.352194,South-Seattle-College,,citywide,College
King Street Station,,,47.598939,-122.329158,King-Street-Station,,citywide,Transit Hub
Westlake Center,,,47.611603,-122.33691,Westlake-Center,,citywide,Transit Hub
Northgate Transit Center,,,47.702358,-122.32721,Northgate-Transit-Center,,citywide,Transit Hub
Downtown Bellevue,,,47.615523,-122.199049,Bellevue-Square,,citywide,Major Employment Area
Tukwila,,,47.455556,-122.254492,Tukwila,,citywide,Major Employment Area
SODO,,,47.583574,-122.333555,SODO,,citywide,Major Employment Area
Overlake-Redmond,,,47.641193,-122.128259,Overlake-Redmond,,citywide,Major Employment Area
Downtown Pioneer Square,,,47.601651,-122.334226,Downtown-Pioneer-Square,,citywide,Major Employment Area
Downtown Commercial Core,,,47.608001,-122.334658,Downtown-Commercial-Core,,citywide,Major Employment Area
University of Washington,,,47.655614,-122.305211,University-of-Washington,,citywide,Major Employment Area
First Hill,,,47.609422,-122.32512,First-Hill,,citywide,Major Employment Area
South Lake Union,,,47.622933,-122.337105,South-Lake-Union,,citywide,Major Employment Area
