Mon Jul 23 16:38:19 2018    OUTFILE

         31621851 function calls (31618175 primitive calls) in 29.799 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   396456    0.155    0.000    0.790    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\shapely\geometry\base.py:421(geom_type)
   802823    0.115    0.000    0.116    0.000 {built-in method builtins.hasattr}
   396472    0.090    0.000    0.090    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\geopandas\tools\sjoin.py:68(<genexpr>)
   396472    0.074    0.000    0.164    0.000 {built-in method builtins.next}
   792916    0.074    0.000    0.074    0.000 {method 'extend' of 'list' objects}
   792960    0.066    0.000    0.066    0.000 {built-in method _ctypes.POINTER}
911684/908921    0.060    0.000    0.064    0.000 {built-in method builtins.len}
   416454    0.056    0.000    0.056    0.000 {built-in method builtins.getattr}
      306    0.042    0.000    0.042    0.000 {built-in method numpy.core.multiarray.concatenate}
        8    0.037    0.005   27.626    3.453 C:\Users\dariu\DSSG\SEAMO\Seattle-Mobility-Index\seamo/support\geocode_base_class.py:17(_find_overlap_in_reference)
      395    0.036    0.000    0.036    0.000 {method 'copy' of 'numpy.ndarray' objects}
   396456    0.034    0.000    0.034    0.000 {built-in method builtins.globals}
    98954    0.033    0.000    0.033    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\shapely\geometry\polygon.py:218(__init__)
        1    0.024    0.024   29.799   29.799 C:\Users\dariu\DSSG\SEAMO\Seattle-Mobility-Index\seamo/support\trip.py:66(__init__)
       23    0.022    0.001    0.022    0.001 {pandas._libs.algos.take_2d_axis0_float64_float64}
        4    0.020    0.005    1.976    0.494 C:\Users\dariu\DSSG\SEAMO\Seattle-Mobility-Index\seamo/support\geocode_base_class.py:33(_get_reference)
       32    0.017    0.001    0.018    0.001 {method 'factorize' of 'pandas._libs.hashtable.Int64Factorizer' objects}
       16    0.014    0.001   27.575    1.723 C:\Users\dariu\Anaconda3\lib\site-packages\geopandas\tools\sjoin.py:6(sjoin)
57947/57941    0.012    0.000    0.026    0.000 {built-in method builtins.isinstance}
      186    0.010    0.000    0.012    0.000 {method 'get_indexer' of 'pandas._libs.index.IndexEngine' objects}
       16    0.010    0.001    0.013    0.001 {pandas._libs.join.left_outer_join}
  519/476    0.009    0.000    0.034    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\indexes\base.py:250(__new__)
      284    0.006    0.000    0.013    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\internals.py:3363(_rebuild_blknos_and_blklocs)
     1189    0.006    0.000    0.006    0.000 {method 'reduce' of 'numpy.ufunc' objects}
4020/3922    0.006    0.000    0.006    0.000 {built-in method numpy.core.multiarray.array}
      422    0.005    0.000    0.055    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\algorithms.py:1545(take_nd)
4480/4438    0.005    0.000    0.008    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1835(_get_dtype_type)
       32    0.005    0.000    0.005    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\rtree\index.py:862(destroy)
     2121    0.005    0.000    0.014    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1688(is_extension_array_dtype)
     2544    0.005    0.000    0.016    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\generic.py:4374(__setattr__)
    11376    0.005    0.000    0.009    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\dtypes\generic.py:7(_check)
     5703    0.004    0.000    0.008    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\dtypes\base.py:61(is_dtype)
     1369    0.004    0.000    0.004    0.000 {built-in method numpy.core.multiarray.empty}
       62    0.004    0.000    0.004    0.000 {method 'tolist' of 'numpy.ndarray' objects}
      533    0.004    0.000    0.004    0.000 {pandas._libs.lib.infer_dtype}
       67    0.004    0.000    0.004    0.000 {pandas._libs.algos.take_2d_axis0_object_object}
      150    0.003    0.000    0.006    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\numpy\lib\function_base.py:4703(delete)
      401    0.003    0.000    0.024    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\series.py:166(__init__)
      923    0.003    0.000    0.006    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\internals.py:116(__init__)
      466    0.003    0.000    0.006    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\indexes\base.py:2019(__contains__)
       84    0.003    0.000    0.009    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\internals.py:5074(_merge_blocks)
      310    0.003    0.000    0.010    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\dtypes\cast.py:257(maybe_promote)
      813    0.003    0.000    0.005    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\indexes\base.py:459(_simple_new)
       16    0.002    0.000    0.002    0.000 {built-in method nt.stat}
      923    0.002    0.000    0.016    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\internals.py:3191(make_block)
       16    0.002    0.000    0.003    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\indexes\base.py:3997(_join_monotonic)
     2424    0.002    0.000    0.006    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\numpy\core\numeric.py:424(asarray)
       32    0.002    0.000    0.002    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\algorithms.py:421(<lambda>)
      720    0.002    0.000    0.002    0.000 {built-in method numpy.core.multiarray.arange}
       80    0.002    0.000   22.284    0.279 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\series.py:3069(apply)
      414    0.002    0.000    0.005    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\common.py:301(_asarray_tuplesafe)
      164    0.002    0.000    0.052    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\internals.py:3500(apply)
     1108    0.002    0.000    0.003    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\dtypes\dtypes.py:707(is_dtype)
       76    0.002    0.000    0.004    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\numpy\lib\index_tricks.py:247(__getitem__)
       38    0.002    0.000    0.013    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\internals.py:4170(delete)
       16    0.002    0.000    0.034    0.002 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\reshape\merge.py:1489(_get_single_indexer)
     2745    0.002    0.000    0.004    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\indexes\base.py:658(values)
       16    0.002    0.000    0.020    0.001 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\reshape\merge.py:1539(_factorize_keys)
      381    0.002    0.000    0.006    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\internals.py:3148(get_block_type)
      186    0.002    0.000    0.027    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\indexes\base.py:3205(get_indexer)
      627    0.002    0.000    0.002    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\generic.py:123(__init__)
      940    0.002    0.000    0.005    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\internals.py:3307(shape)
      751    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
        2    0.002    0.001    1.475    0.737 C:\Users\dariu\DSSG\SEAMO\Seattle-Mobility-Index\seamo\support\coordinate.py:10(__init__)
      227    0.002    0.000    0.003    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\indexes\base.py:1555(is_unique)
       16    0.001    0.000    0.040    0.003 C:\Users\dariu\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:1127(resize)
10164/10004    0.001    0.000    0.003    0.000 {built-in method builtins.issubclass}
       16    0.001    0.000    0.002    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\rtree\index.py:413(intersection)
     1240    0.001    0.000    0.002    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\indexes\range.py:481(__len__)
       79    0.001    0.000    0.050    0.001 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\internals.py:4431(_slice_take_blocks_ax0)
     1920    0.001    0.000    0.007    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\dtypes\common.py:227(is_datetimetz)
     2745    0.001    0.000    0.005    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\dtypes\common.py:369(is_datetime64tz_dtype)
     1107    0.001    0.000    0.002    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\internals.py:237(mgr_locs)
      401    0.001    0.000    0.006    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\internals.py:4639(__init__)
      174    0.001    0.000    0.001    0.000 {pandas._libs.algos.take_1d_int64_int64}
      391    0.001    0.000    0.002    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\internals.py:5208(_get_blkno_placements)
      879    0.001    0.000    0.004    0.000 C:\Users\dariu\Anaconda3\lib\abc.py:178(__instancecheck__)
     3054    0.001    0.000    0.001    0.000 {method 'view' of 'numpy.ndarray' objects}
       88    0.001    0.000    0.005    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\internals.py:5457(get_empty_dtype_and_na)
      455    0.001    0.000    0.004    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\internals.py:2298(__init__)
      226    0.001    0.000    0.011    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\frame.py:334(__init__)
     2121    0.001    0.000    0.004    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\dtypes\common.py:513(is_categorical_dtype)
     1364    0.001    0.000    0.019    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\indexes\base.py:4898(_ensure_index)
     1232    0.001    0.000    0.001    0.000 C:\Users\dariu\Anaconda3\lib\_weakrefset.py:70(__contains__)
       44    0.001    0.000    0.001    0.000 {pandas._libs.algos.take_2d_axis0_int64_int64}
       38    0.001    0.000    0.018    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\internals.py:4323(insert)
       75    0.001    0.000    0.059    0.001 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\generic.py:3785(_reindex_with_indexers)
      136    0.001    0.000    0.002    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\numpy\core\numeric.py:621(require)
      216    0.001    0.000    0.017    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\internals.py:3265(__init__)
       64    0.001    0.000    0.003    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\internals.py:5584(get_mgr_concatenation_plan)
      224    0.001    0.000    0.020    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\geopandas\geoseries.py:34(__init__)
      274    0.001    0.000    0.002    0.000 {method 'add' of 'pandas._libs.internals.BlockPlacement' objects}
      252    0.001    0.000    0.004    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\indexes\numeric.py:35(__new__)
      226    0.001    0.000    0.028    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\frame.py:2664(__getitem__)
      142    0.001    0.000    0.003    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\internals.py:4137(iget)
      125    0.001    0.000    0.004    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\dtypes\cast.py:971(maybe_cast_to_datetime)
       76    0.001    0.000    0.003    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\numpy\lib\function_base.py:4908(insert)
      264    0.001    0.000    0.001    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\numpy\core\numerictypes.py:939(_can_coerce_all)
       40    0.001    0.000    0.001    0.000 {pandas._libs.missing.isnaobj}
      136    0.001    0.000    0.002    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\shapely\predicates.py:11(__call__)
      338    0.001    0.000    0.001    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\indexes\base.py:1921(_engine)
      285    0.001    0.000    0.003    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\indexes\base.py:496(_shallow_copy)
   304/48    0.001    0.000    0.002    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\numpy\core\arrayprint.py:659(recurser)
     2421    0.001    0.000    0.001    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\indexes\base.py:627(__len__)
      292    0.001    0.000    0.002    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\numpy\core\numeric.py:2460(seterr)
      817    0.001    0.000    0.003    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\dtypes\common.py:332(is_datetime64_dtype)
      136    0.001    0.000    0.006    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\geopandas\geodataframe.py:43(__init__)
       58    0.001    0.000    0.090    0.002 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\generic.py:3115(_drop_axis)
     1551    0.001    0.000    0.004    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\dtypes\common.py:477(is_interval_dtype)
      401    0.001    0.000    0.001    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\series.py:365(_set_axis)
      212    0.001    0.000    0.005    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\indexes\base.py:2431(equals)
       58    0.001    0.000    0.013    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\indexes\base.py:4362(drop)
      914    0.001    0.000    0.001    0.000 {built-in method pandas._libs.lib.is_scalar}
      158    0.001    0.000    0.038    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\internals.py:1237(take_nd)
      660    0.001    0.000    0.007    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\base.py:789(_ndarray_values)
       32    0.001    0.000    0.001    0.000 {built-in method winreg.OpenKey}
      613    0.001    0.000    0.001    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\generic.py:4358(__getattr__)
      899    0.001    0.000    0.001    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\compat\__init__.py:204(iteritems)
     2804    0.001    0.000    0.003    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\internals.py:3309(<genexpr>)
       96    0.001    0.000    0.015    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\generic.py:4886(astype)
      554    0.001    0.000    0.006    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\internals.py:269(make_block_same_class)
       96    0.001    0.000    0.007    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\internals.py:577(_astype)
       20    0.001    0.000    0.003    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\internals.py:4208(set)
     1350    0.001    0.000    0.001    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1784(_get_dtype)
      693    0.001    0.000    0.003    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\geopandas\geodataframe.py:59(__setattr__)
      127    0.001    0.000    0.008    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\series.py:4018(_sanitize_array)
      691    0.001    0.000    0.001    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\series.py:401(name)
      996    0.001    0.000    0.004    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\dtypes\common.py:89(is_object_dtype)
      108    0.001    0.000    0.002    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\dtypes\cast.py:867(maybe_infer_to_datetimelike)
       16    0.001    0.000    4.875    0.305 C:\Users\dariu\Anaconda3\lib\site-packages\rtree\index.py:680(_create_idx_from_stream)
       32    0.001    0.000    0.026    0.001 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\internals.py:5388(concatenate_block_managers)
      147    0.001    0.000    0.003    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\internals.py:3488(_verify_integrity)
       32    0.001    0.000    0.010    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\indexes\base.py:2806(intersection)
      170    0.001    0.000    0.013    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\geopandas\geodataframe.py:392(__getitem__)
      206    0.001    0.000    0.012    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\generic.py:2481(_get_item_cache)
       48    0.001    0.000    0.006    0.000 {method 'get_value' of 'pandas._libs.index.IndexEngine' objects}
       32    0.001    0.000    0.084    0.003 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\reshape\merge.py:563(get_result)
      347    0.001    0.000    0.001    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
       16    0.001    0.000    0.041    0.003 {method 'get_indexer_non_unique' of 'pandas._libs.index.IndexEngine' objects}
       33    0.001    0.000    0.072    0.002 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\indexing.py:1118(_getitem_iterable)
      211    0.001    0.000    0.003    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\indexes\base.py:2053(__getitem__)
       58    0.001    0.000    0.072    0.001 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\generic.py:3643(reindex)
       58    0.001    0.000    0.005    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\frame.py:3324(_sanitize_column)
       99    0.001    0.000    0.060    0.001 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\internals.py:4388(reindex_indexer)
      422    0.001    0.000    0.001    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\algorithms.py:1418(_get_take_nd_function)
      238    0.001    0.000    0.003    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\internals.py:3784(_consolidate_check)
      879    0.001    0.000    0.006    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\dtypes\inference.py:251(is_list_like)
      528    0.001    0.000    0.001    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\generic.py:376(_get_axis_name)
      530    0.001    0.000    0.002    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\internals.py:356(ftype)
     2995    0.001    0.000    0.001    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\internals.py:233(mgr_locs)
      202    0.001    0.000    0.002    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\indexes\base.py:3373(_maybe_promote)
     1328    0.001    0.000    0.004    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\dtypes\common.py:122(is_sparse)
      158    0.001    0.000    0.010    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\indexes\base.py:506(_shallow_copy_with_infer)
       88    0.001    0.000    0.001    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\internals.py:5770(needs_filling)
      292    0.001    0.000    0.001    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\numpy\core\numeric.py:2560(geterr)
      628    0.001    0.000    0.002    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\dtypes\common.py:692(is_dtype_equal)
        4    0.001    0.000    0.001    0.000 {built-in method io.open}
       33    0.001    0.000    0.010    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\ops.py:1178(wrapper)
      626    0.001    0.000    0.001    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\series.py:405(name)
      784    0.001    0.000    0.002    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\dtypes\common.py:407(is_timedelta64_dtype)
      513    0.001    0.000    0.001    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\indexes\base.py:906(_get_attributes_dict)
       66    0.001    0.000    0.001    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1965(pandas_dtype)
       49    0.001    0.000    0.003    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\dtypes\missing.py:189(_isna_ndarraylike)
      576    0.001    0.000    0.001    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\dtypes\common.py:858(is_signed_integer_dtype)
       33    0.001    0.000    0.002    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\ops.py:1134(na_op)
     1376    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      638    0.001    0.000    0.004    0.000 {method 'any' of 'numpy.ndarray' objects}
       34    0.001    0.000    0.062    0.002 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\frame.py:3933(reset_index)
      496    0.001    0.000    0.002    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\geopandas\base.py:90(_invalidate_sindex)
       34    0.001    0.000    0.036    0.001 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\frame.py:3805(set_index)
      142    0.001    0.000    0.005    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\internals.py:4108(get)
       76    0.001    0.000    0.005    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\internals.py:5880(_fast_count_smallints)
      265    0.001    0.000    0.001    0.000 {method 'astype' of 'numpy.ndarray' objects}
      142    0.001    0.000    0.004    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\frame.py:3100(_box_col_values)
   122/10    0.001    0.000    0.001    0.000 C:\Users\dariu\Anaconda3\lib\abc.py:194(__subclasscheck__)
       48    0.001    0.000    0.008    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\indexes\base.py:3076(get_value)
        4    0.001    0.000    1.858    0.464 C:\Users\dariu\DSSG\SEAMO\Seattle-Mobility-Index\seamo/support\geocode_input_base_class.py:32(get_reference)
      524    0.001    0.000    0.003    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1043(is_datetime64_any_dtype)
     1604    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      662    0.001    0.000    0.002    0.000 {pandas._libs.lib.values_from_object}
      392    0.001    0.000    0.002    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1578(is_bool_dtype)
     1126    0.001    0.000    0.003    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\indexes\base.py:663(_values)
      923    0.001    0.000    0.001    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\internals.py:127(_check_ndim)
       75    0.001    0.000    0.007    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\indexes\base.py:3562(reindex)
      905    0.001    0.000    0.001    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\indexes\base.py:621(_reset_identity)
      131    0.001    0.000    0.001    0.000 {pandas._libs.internals.get_blkno_indexers}
      102    0.001    0.000    0.001    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\dtypes\cast.py:1207(construct_1d_object_array_from_listlike)
       90    0.001    0.000    0.002    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\indexes\base.py:1350(set_names)
       32    0.001    0.000    0.004    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\reshape\merge.py:491(__init__)
      115    0.001    0.000    0.006    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\series.py:4035(_try_cast)
      262    0.001    0.000    0.004    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\dtypes\missing.py:112(_isna_new)
       34    0.000    0.000    0.074    0.002 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\indexing.py:1854(_getitem_axis)
       48    0.000    0.000    0.087    0.002 C:\Users\dariu\Anaconda3\lib\site-packages\pandas\core\series.py:764(__getitem__)
      152    0.000    0.000    0.001    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\numpy\core\numeric.py:1459(normalize_axis_tuple)
      183    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
